Investor_ID,Investor_Name,Age,Gender,City,PAN_Number,Investment_Type,Amount_Invested,Returns_%,Investment_Date,Financial_Advisor
B1892,Suhana Randhawa,58,Male,Patiala,PKI9767G,Real Estate,155042.85,28.81,11-01-2023,Aradhya Dugar
B1893,Drishya Vyas,61,Female,Bhiwandi,IUZ8616P,Stocks,367732.53,21.19,23-12-2023,Aarna Dua
B1894,Raghav Sarin,64,Female,Vijayawada,KPR2787F,Bonds,79955.06,13.24,17-09-2023,Jayant Bhasin
B1895,Miraan Thaman,46,Male,Dhanbad,ABQ2406X,Fixed Deposit,68731.63,1.07,03-04-2017,Ehsaan Bhatt
B1896,Kabir Devi,43,Female,Alappuzha,BPE3953L,Fixed Deposit,964116.57,8.06,10-07-2023,Raghav Basak
B1897,Seher Chawla,23,Male,Sirsa,RCG2775J,Mutual Funds,573700.54,-3.15,27-10-2024,Indrajit Krishnamurthy
B1898,Kimaya Ravel,53,Female,Adoni,HWQ7503N,Real Estate,581832.94,28.93,03-11-2022,Armaan Bumb
B1899,Nitara Venkataraman,42,Female,Etawah,IYU8096F,Real Estate,647684.07,10.85,19-08-2019,Ishaan Sarna
B1900,Dhruv Sami,33,Male,Bettiah,ZEC4268S,Crypto,403805.63,-1.79,06-02-2020,Bhamini Cherian
B1901,Tejas Mann,53,Male,Allahabad,WON7578K,Bonds,434188.44,26.17,18-03-2021,Vihaan Halder
B1902,Adah Chakrabarti,35,Male,Sri Ganganagar,KVT6385A,Fixed Deposit,914867.1,29.54,12-04-2022,Navya Gulati
B1903,Anahita Sura,44,Female,Begusarai,ZNN2056M,Bonds,826005.33,21.87,27-02-2021,Saira Sankaran
B1904,Sumer Ravel,38,Male,Saharsa,KZE6198P,Real Estate,68201.91,4.05,03-01-2023,Shalv Kapoor
B1905,Kaira Hayre,43,Female,Imphal,SCU6610F,Crypto,551267.97,23.53,18-10-2018,Dharmajan Sahota
B1906,Sana Gour,39,Female,Raipur,AMN8967V,Crypto,719957.54,27.92,01-09-2021,Tushar Gade
B1907,Shanaya Halder,60,Female,Saharanpur,SAC4483E,Real Estate,482725.64,21.65,23-01-2024,Parinaaz Chandran
B1908,Hiran Loyal,66,Male,Gwalior,MLB8802U,Fixed Deposit,53647.94,-12.01,01-08-2018,Taimur Garg
B1909,Shamik Devan,39,Female,Silchar,ZFZ2873J,Fixed Deposit,698497.33,-5.19,28-08-2023,Indranil Varty
B1910,Anika Chaudhari,57,Male,Morena,VRU5560Q,Bonds,249219.55,-8.94,06-06-2018,Shlok Butala
B1911,Tushar Konda,22,Female,Agra,YEP8447A,Bonds,484192.16,-0.63,15-08-2017,Diya Mahal
B1912,Veer Wadhwa,55,Female,Tumkur,URF1627U,Crypto,274385.32,-5.16,02-12-2018,Eshani Sunder
B1913,Sana Ghosh,34,Female,Madhyamgram,SXJ9930C,Crypto,683415.9,7.44,02-05-2024,Yasmin Sama
B1914,Bhamini Wason,27,Female,Kozhikode,BKW3551A,Mutual Funds,719489.88,14.79,08-04-2021,Ela Ramakrishnan
B1915,Aaina Grewal,37,Male,Purnia,TPO8699K,Real Estate,956852.49,24.09,19-09-2023,Yasmin Suresh
B1916,Anaya Yohannan,68,Female,Alappuzha,MMO3384H,Stocks,665590.23,0.98,15-12-2022,Zain Bhakta
B1917,Kimaya Rattan,48,Female,Ulhasnagar,GGQ4497V,Real Estate,574573.24,27.52,23-08-2023,Azad Bahl
B1918,Navya Rege,53,Male,Katni,OQC6245B,Crypto,296086.27,1.47,10-11-2019,Ahana  Kakar
B1919,Dhanuk Kibe,57,Female,Hubli–Dharwad,EUY1513P,Stocks,585242.63,16.79,22-02-2023,Aayush Kara
B1920,Raghav Jaggi,70,Female,Srinagar,MTN7230Z,Real Estate,963548.35,-7.79,03-06-2017,Arnav Magar
B1921,Abram Chhabra,37,Female,Guntur,KVR2022T,Stocks,381218.95,25.95,27-01-2018,Yuvaan Krishnamurthy
B1922,Miraan Majumdar,66,Female,Bellary,CEM6922U,Crypto,232778.02,15.12,22-01-2017,Aayush Mann
B1923,Nitya Bora,52,Female,Dehradun,URS8046L,Stocks,12751.29,14.81,27-01-2024,Ira Lala
B1924,Jhanvi Sood,63,Female,Kollam,HOP8756G,Fixed Deposit,495868.75,-4.49,18-08-2018,Ivan Barman
B1925,Yuvaan Apte,67,Male,Sonipat,VLA4496X,Bonds,383207.18,7.91,24-01-2022,Shayak Trivedi
B1926,Madhup Banik,53,Male,Naihati,RTI1886W,Fixed Deposit,849585.58,28.28,12-01-2019,Umang Hora
B1927,Hrishita Dora,50,Male,Bidhannagar,HOQ4465C,Stocks,165603.78,19.83,12-03-2017,Badal Kibe
B1928,Akarsh Chakraborty,23,Male,Karimnagar,ZAQ1375D,Mutual Funds,334810.82,-5.62,16-10-2021,Hunar Singhal
B1929,Vaibhav Iyengar,27,Female,Bangalore,EJK7929Q,Mutual Funds,225786.55,-13.3,25-11-2019,Drishya Goel
B1930,Mehul Dara,40,Male,Kolkata,DXT5421N,Real Estate,636554.27,10.42,22-12-2020,Bhavin Iyengar
B1931,Armaan Dhar,36,Female,Avadi,HXI5129K,Mutual Funds,830157.85,-11.01,03-01-2019,Nayantara Dara
B1932,Anya Krish,47,Female,Raipur,ACU3885J,Real Estate,82149.75,10.16,06-11-2017,Alisha Bajaj
B1933,Eshani Upadhyay,66,Male,Ozhukarai,KSF2369A,Fixed Deposit,220391.4,26.48,20-06-2024,Vanya Chadha
B1934,Rohan Halder,37,Male,Kollam,ISL3322L,Mutual Funds,385688.11,14.78,21-05-2024,Shayak Sachdeva
B1935,Keya Behl,41,Male,Bhalswa Jahangir Pur,TUC2134Y,Mutual Funds,262552.83,13.91,23-11-2024,Samiha Verma
B1936,Aniruddh Acharya,64,Female,Raichur,LBE5487L,Crypto,899855.51,29.82,08-11-2022,Pihu Srivastava
B1937,Anay Sahota,59,Male,Jabalpur,PVW7636Q,Crypto,191808.44,-4.8,20-06-2023,Aaryahi Mani
B1938,Mamooty Tata,45,Male,Firozabad,ARD2338G,Mutual Funds,114710.19,-7.12,10-12-2024,Zain Tripathi
B1939,Navya Sankar,52,Female,Jorhat,HSL5887U,Mutual Funds,541866.52,-10.93,12-03-2021,Bhavin Sachar
B1940,Azad Basu,57,Female,Ambarnath,GJO8396F,Real Estate,191932.55,23.45,22-07-2019,Trisha Hayer
B1941,Yakshit Rattan,55,Male,Panipat,AUR7876X,Crypto,70536.82,18.14,21-11-2021,Trisha Sane
B1942,Prerak Ramanathan,44,Female,Tezpur,SBY9597V,Real Estate,194902.46,-11.9,10-01-2019,Damini Mallick
B1943,Piya Basak,49,Female,Kharagpur,SVA4507V,Real Estate,947554.7,0.61,10-07-2018,Anahita Kohli
B1944,Jayan Varghese,69,Female,Mau,FIS5250X,Fixed Deposit,705431.89,18.25,25-06-2018,Gatik Karan
B1945,Renee Kamdar,57,Female,Tirunelveli,VQA4015K,Crypto,157957.11,9.19,10-08-2020,Aniruddh Hegde
B1946,Damini Dalal,43,Male,Tadepalligudem,SSM1880D,Fixed Deposit,791384.06,11.24,28-11-2017,Drishya Bal
B1947,Pranay Hari,44,Female,Kolhapur,CZK2514T,Crypto,314638.12,20.87,07-02-2022,Zara Shanker
B1948,Ryan Bera,66,Male,Mango,KEB8021A,Fixed Deposit,857451.35,-13.92,25-08-2020,Vanya Cherian
B1949,Kartik Saraf,51,Male,Varanasi,PUZ6603R,Crypto,79046.57,6,26-08-2020,Pranay Sanghvi
B1950,Tara Dugar,39,Male,Parbhani,WXC5864D,Crypto,739856.48,-5.67,24-07-2023,Sara Aggarwal
B1951,Dhanuk Garde,41,Male,Tiruvottiyur,KDG3695A,Fixed Deposit,41628.81,-1.88,18-07-2024,Charvi Shah
B1952,Pranay Chaudry,38,Female,Sasaram,AXA4253U,Crypto,49435.48,2.29,22-12-2018,Hansh D’Alia
B1953,Saanvi Chawla,36,Female,Kozhikode,KQS6722M,Bonds,896079.91,6.19,27-01-2023,Kismat Dora
B1954,Adira Chauhan,29,Male,Nagercoil,HGY7866L,Real Estate,427537.29,-3.54,16-06-2022,Yuvaan Chand
B1955,Nitya Mangat,68,Female,Karnal,MML8890Q,Mutual Funds,679999.23,-7.05,10-08-2018,Aradhya Dhar
B1956,Rasha Kakar,34,Female,Katni,HER8790Q,Stocks,362607.8,-9.5,17-06-2017,Mohanlal Bath
B1957,Neelofar Kar,42,Female,Hyderabad,IAM9773Y,Fixed Deposit,15562.41,18.44,24-10-2021,Nayantara Sagar
B1958,Advik Rege,29,Female,Morena,HLK3632B,Real Estate,766662.37,10.75,17-09-2023,Jiya Dhar
B1959,Kanav Jha,69,Female,Jehanabad,CGU8156Y,Mutual Funds,545603.72,9.51,09-05-2018,Yuvaan Raval
B1960,Nayantara Chaudry,56,Female,Bhilai,JQD6811Z,Crypto,914389.25,14.26,02-09-2017,Saira Kanda
B1961,Samaira Iyer,70,Female,Sonipat,CXP7375N,Crypto,515332.38,26.47,17-06-2020,Pranay Sibal
B1962,Urvi Chowdhury,66,Male,Kalyan-Dombivli,UMZ1162S,Crypto,250545.96,6.92,10-03-2023,Samar Balay
B1963,Raunak Kuruvilla,33,Female,Tumkur,CEK4253Z,Fixed Deposit,159952.14,18.33,12-11-2017,Pari Buch
B1964,Arhaan Yadav,34,Male,Jabalpur,FON2274H,Stocks,903824.39,26.55,09-05-2024,Alisha Anne
B1965,Damini Sarraf,35,Female,Meerut,ETJ3369F,Mutual Funds,97502.39,12.44,19-01-2022,Tejas Yogi
B1966,Divyansh Chopra,69,Male,Khammam,BZE6304F,Fixed Deposit,398656.26,4.11,06-04-2023,Ivana Bhat
B1967,Sara Dhaliwal,52,Male,Nagpur,SUI6185F,Mutual Funds,227744.61,4.89,25-06-2021,Purab Gara
B1968,Rasha Dhar,39,Female,Karimnagar,ESW1232X,Mutual Funds,144720.27,0.15,05-06-2020,Amira Deshpande
B1969,Alisha Sama,68,Female,Jalandhar,JEH3465N,Mutual Funds,928243.21,27.67,19-12-2024,Vihaan Guha
B1970,Nayantara Bassi,59,Female,Raichur,RXL8514G,Crypto,288773.99,25.39,04-02-2018,Devansh Virk
B1971,Aarna Goswami,70,Female,Karawal Nagar,YPL3416P,Crypto,681554.9,-11.54,02-12-2018,Advik Ranganathan
B1972,Hazel Biswas,55,Female,Vijayawada,LNC9182P,Bonds,958110.89,14.9,28-12-2022,Zoya Lala
B1973,Advika Dalal,60,Male,Munger,GVD6184Z,Mutual Funds,924294.32,3.2,09-09-2018,Seher Choudhry
B1974,Shamik Raman,40,Female,Mango,YHD2861L,Mutual Funds,461973.16,9.83,14-11-2023,Keya Rajan
B1975,Sara Dash,28,Female,Thanjavur,BAG7658D,Bonds,756694.72,14.05,08-10-2022,Azad Sane
B1976,Miraan Rajagopal,34,Female,Bally,DJK5305B,Crypto,996062.27,27.43,08-02-2019,Raghav Karpe
B1977,Mohanlal Sethi,40,Male,Solapur,HMN9531A,Bonds,560918.71,25.11,14-10-2022,Tanya Aggarwal
B1978,Khushi Sood,36,Male,Shimla,SMI1060Y,Mutual Funds,982201.34,-10.55,22-09-2018,Hridaan Dhar
B1979,Anahi Mahal,45,Female,Salem,GOG8381H,Mutual Funds,456636.13,20.45,27-01-2020,Krish Koshy
B1980,Sumer Samra,33,Female,Sangli-Miraj & Kupwad,STB3059Y,Bonds,858637.77,-1.51,23-12-2024,Kashvi Raj
B1981,Shamik Bhargava,41,Female,Vadodara,CWT8361R,Mutual Funds,862096.72,-2.69,09-11-2020,Urvi Bora
B1982,Rasha Krishnamurthy,22,Male,Loni,WPF2596Y,Crypto,96849.57,6.58,05-01-2017,Armaan Acharya
B1983,Indrans Manda,67,Male,Adoni,HIX1597X,Fixed Deposit,597484.9,16.46,28-11-2019,Sumer Basu
B1984,Ayesha Dani,56,Male,Rajkot,CUM4581S,Real Estate,597660.73,-12.36,05-05-2023,Seher Mahajan
B1985,Eshani Halder,30,Female,Sonipat,WLO4074R,Mutual Funds,429262.75,11.59,16-10-2022,Ayesha Bhargava
B1986,Gatik Chacko,39,Male,South Dumdum,YIN7884G,Mutual Funds,175812.22,21.78,11-01-2019,Tejas Khosla
B1987,Purab Ganesh,24,Female,Sikar,OUM9947A,Crypto,55961.95,-5.85,18-05-2022,Yashvi Jaggi
B1988,Sara Sethi,25,Female,Berhampur,IBJ3721B,Real Estate,953718.74,6.91,17-10-2019,Saksham Singh
B1989,Rasha Kumar,57,Female,Chinsurah,QBB7185V,Fixed Deposit,247866.69,5.24,28-09-2024,Zoya Doctor
B1990,Damini Gaba,40,Female,Bikaner,AMX4541G,Fixed Deposit,674326.1,-13.84,20-12-2018,Adah Thakkar
B1991,Amira Kurian,66,Female,Rohtak,TYR6703F,Bonds,883482.27,29.83,28-02-2019,Damini Singh
B1992,Ishita Wason,30,Female,Tiruvottiyur,OTF4436J,Crypto,799366.11,11.62,22-08-2021,Zara Choudhury
B1993,Anahita Seth,62,Female,Kolkata,FGC4131Y,Bonds,885896.85,17.35,24-10-2021,Yuvraj  Sani
B1994,Vihaan Barad,70,Female,Bhilai,HLR1235Q,Fixed Deposit,150050.65,-9.36,10-08-2021,Anya Agrawal
B1995,Nishith Deshpande,53,Female,Rajkot,NZV7066Q,Mutual Funds,376343.56,3.23,10-01-2023,Anaya Sandhu
B1996,Ahana  Singhal,28,Female,Hosur,ELW6960P,Bonds,525454.14,14.9,08-10-2019,Faiyaz Wali
B1997,Khushi Mammen,22,Male,Madurai,JRO1265I,Fixed Deposit,86960.31,29.86,16-02-2024,Krish Lala
B1998,Adira Varughese,58,Male,Jalna,RRY5947P,Fixed Deposit,467324.31,28.7,16-11-2021,Ranbir Kalla
B1999,Jhanvi Khanna,40,Male,Nagaon,KXW6029Q,Mutual Funds,468733.62,19.68,09-02-2019,Anahita Vohra
B2000,Jayesh Handa,52,Male,Vasai-Virar,YJO9226S,Fixed Deposit,34417.47,-13.71,15-02-2023,Pranay Dar
B2001,Ivan D’Alia,52,Male,Ranchi,FOO3043Y,Crypto,599879.36,-8.18,11-08-2019,Yashvi Sen
B2002,Dhanuk Kale,50,Female,Panchkula,UZY9177N,Crypto,11086.4,28.28,12-05-2017,Piya Khurana
B2003,Jhanvi Babu,43,Male,Mehsana,MQZ8471S,Mutual Funds,450468.49,13.55,27-10-2019,Arnav Chanda
B2004,Ira Guha,33,Male,Bhatpara,FBK7783K,Bonds,99925.77,28.62,15-07-2019,Aradhya Wali
B2005,Anahita Dyal,25,Male,Amritsar,OEJ7723D,Real Estate,350809.73,18.71,17-10-2023,Pihu Setty
B2006,Kabir Andra,38,Female,Nagercoil,UTY6762Y,Crypto,170481.61,10.88,18-10-2024,Ahana  Boase
B2007,Kartik Bhardwaj,52,Male,Bulandshahr,URE6770Q,Crypto,716557.32,14.06,11-08-2024,Jayan Iyengar
B2008,Mishti Dara,29,Male,Patna,RJO9887J,Bonds,555223.46,2.3,11-05-2021,Aarush Bora
B2009,Jivika Bhatia,26,Male,Tirunelveli,XQA7977W,Stocks,189123.22,21.86,25-08-2021,Mamooty Sur
B2010,Tanya Lad,47,Female,Mahbubnagar,OZR9571P,Fixed Deposit,437134.59,-9.75,08-02-2021,Kanav Kalita
B2011,Miraya Karnik,53,Male,Jammu,QIK6502W,Fixed Deposit,957860.86,25.08,04-01-2021,Anahi Samra
B2012,Sana Bassi,26,Male,Ambarnath,KBA2857O,Mutual Funds,107984.91,3.7,19-12-2019,Navya Bhavsar
B2013,Tushar Sastry,58,Female,Bikaner,MCP3880M,Fixed Deposit,797309.08,5.36,01-07-2020,Vidur Tiwari
B2014,Stuvan Chanda,62,Male,Eluru,QDT8517Y,Bonds,728301.58,-9.46,14-10-2022,Mahika Choudhary
B2015,Gokul Kannan,65,Male,Dindigul,ZYM8018A,Bonds,179207.62,18.58,15-12-2019,Yuvaan Krishnan
B2016,Nishith Venkatesh,25,Female,Ujjain,RUI7113O,Crypto,359045.93,29.55,03-11-2022,Yuvaan Bhatia
B2017,Damini Mammen,31,Male,Rewa,UQJ3898S,Fixed Deposit,911281.91,3.62,13-05-2020,Elakshi Chadha
B2018,Anahita Raval,31,Male,Bhusawal,GAJ3664G,Mutual Funds,787819.58,27.86,20-09-2020,Zara Bhagat
B2019,Kiaan Som,58,Female,Amroha,KPB9892W,Bonds,527031.43,-14.93,05-02-2017,Tushar Bhardwaj
B2020,Bhavin Deshpande,41,Female,Karnal,PZW8141X,Fixed Deposit,910762.21,29.88,10-09-2021,Aarush Golla
B2021,Aarush Bhardwaj,27,Male,Ballia,MFB7251R,Real Estate,725561.51,18.6,20-08-2021,Farhan Wason
B2022,Trisha Chaudhary,37,Male,Kadapa,IHM5669A,Mutual Funds,689531.5,26.19,24-07-2020,Kismat Shetty
B2023,Manikya Chawla,29,Female,Dewas,SVY8167G,Bonds,569887.96,-2.5,04-07-2022,Advika Deshmukh
B2024,Myra Setty,57,Female,Salem,OZE5640Q,Real Estate,439397.5,21.51,14-06-2018,Nitara Brar
B2025,Anaya Sangha,70,Male,Alwar,ABT2625D,Real Estate,775074.53,26.48,23-03-2023,Sara Varughese
B2026,Hridaan Basu,48,Male,Hajipur,HVO2435K,Fixed Deposit,508101.56,-8.95,08-12-2019,Amira Lala
B2027,Sana Walia,60,Male,Firozabad,SLA2700R,Mutual Funds,219321.64,23.21,01-08-2017,Priyansh Behl
B2028,Indrans Zacharia,60,Male,Kanpur,GSJ2468S,Crypto,377714.1,-9.24,20-06-2023,Shayak Tripathi
B2029,Kabir Gandhi,61,Male,Muzaffarpur,DTK1269T,Real Estate,554735.7,15.6,01-09-2021,Eva Dewan
B2030,Indranil Gara,36,Female,Shahjahanpur,XUG7738S,Crypto,90737.5,29.05,04-04-2022,Kismat Loyal
B2031,Shamik Aurora,55,Female,Bareilly,OGI2698V,Mutual Funds,592655.85,-2.91,05-01-2023,Saira Krish
B2032,Zoya Suresh,46,Female,Orai,IST9133P,Bonds,319817.88,11.48,21-08-2019,Eva Kar
B2033,Jiya Basu,50,Female,Raichur,ZTA9924S,Mutual Funds,752128.41,-13.22,08-04-2021,Farhan Ramachandran
B2034,Mahika Zachariah,50,Female,Jodhpur,GSN2633X,Crypto,693364.71,25.48,27-04-2017,Aarush Verma
B2035,Samarth Kale,41,Female,Rourkela,ZBE8276A,Stocks,475740.73,-5.61,06-11-2024,Damini Khosla
B2036,Bhamini Mahal,59,Male,Gudivada,HKA9247J,Mutual Funds,706937.93,4.7,18-02-2024,Nishith Sawhney
B2037,Ishita Kala,49,Male,Nellore,EVM1534I,Stocks,103254.41,4.05,21-11-2023,Saksham Doctor
B2038,Veer Sachdeva,41,Female,Thrissur,KBJ5749M,Real Estate,560452.84,-5.07,10-05-2019,Keya Chakrabarti
B2039,Bhamini Shankar,58,Female,Vijayawada,BVE7891K,Crypto,54012.5,3.94,14-06-2024,Vanya Chacko
B2040,Tejas Kapur,61,Female,Ludhiana,GOG4471E,Real Estate,59840.49,1.11,26-02-2020,Priyansh Kara
B2041,Damini Karan,25,Female,Karimnagar,PRU4651Z,Stocks,992491.14,18.32,21-03-2018,Faiyaz Choudhary
B2042,Ritvik Solanki,61,Female,Dindigul,MJA8448F,Stocks,346272.68,-10.78,18-04-2018,Anay Seth
B2043,Ivana Chanda,69,Male,Deoghar,RQL7243I,Bonds,243969.85,23.89,18-08-2017,Gokul Chakraborty
B2044,Hridaan Thaman,28,Male,Satara,FLG2875C,Mutual Funds,539628.22,12.64,16-09-2019,Onkar Brar
B2045,Onkar Walia,70,Female,Surat,RPZ4204U,Real Estate,810212.88,-0.27,14-07-2017,Shanaya Subramanian
B2046,Farhan Gole,35,Female,Guwahati,BBV8693K,Real Estate,607835.15,13.6,23-06-2018,Mannat Sandal
B2047,Madhup Sethi,62,Female,Nagercoil,UQD3038U,Crypto,223787.75,-2.58,20-06-2021,Damini Kapadia
B2048,Krish Zacharia,35,Female,Jodhpur,ENZ6744D,Crypto,552014.01,3.16,13-09-2022,Aradhya Iyer
B2049,Krish Andra,38,Female,Jhansi,BUQ8601G,Mutual Funds,381683.33,-2.65,12-04-2023,Miraan Virk
B2050,Misha Sarkar,64,Male,Bhopal,ZIM7765W,Crypto,943178.79,-13.79,23-06-2023,Vedika Iyengar
B2051,Rania Hayer,27,Female,Bettiah,CGU7484L,Crypto,513435.12,-7.61,17-02-2021,Zaina Rau
B2052,Lakshit Gandhi,32,Male,Bhatpara,WAK1124C,Real Estate,586065.62,-3.96,21-03-2017,Vivaan Bhakta
B2053,Ehsaan Thaman,37,Male,Gwalior,WUH7138E,Bonds,900222.54,23.63,05-06-2019,Vidur Tailor
B2054,Shray Kanda,33,Male,Vadodara,HTQ4668M,Mutual Funds,805668.76,-12.18,22-03-2018,Ojas Ramachandran
B2055,Zara Gour,57,Female,Durg,DZV9315P,Stocks,283349.86,-1.32,19-07-2023,Hunar Sood
B2056,Manikya Hegde,26,Female,Kollam,WNF5646J,Real Estate,961830.48,2.8,27-06-2017,Kimaya Grover
B2057,Hrishita Kaul,32,Female,Patiala,GMG5384K,Fixed Deposit,317881.82,1.22,19-07-2021,Baiju Chanda
B2058,Tarini Rana,22,Male,Deoghar,BFI5333I,Real Estate,62886.24,24.68,18-03-2021,Armaan Mangat
B2059,Amani Goel,48,Female,Katihar,FHP6036Z,Crypto,105014.74,-8.69,27-12-2019,Anvi Chakraborty
B2060,Umang Shere,50,Female,Guntakal,YNU7794C,Stocks,518774.5,21.41,02-08-2021,Reyansh Sheth
B2061,Bhavin Kapoor,66,Female,Latur,WPH4957N,Real Estate,176440.14,21.61,02-03-2022,Yashvi Atwal
B2062,Prerak Dua,60,Male,Mangalore,ZXX1068U,Real Estate,756452.83,-10.05,22-02-2020,Siya Ganguly
B2063,Kimaya Lanka,52,Female,Ramgarh,HXM7792W,Real Estate,170888.44,2.27,06-11-2020,Kaira Dugar
B2064,Gokul Wadhwa,40,Female,Bellary,JFS1535Q,Mutual Funds,63434.6,7.03,26-02-2024,Ritvik Solanki
B2065,Azad Vora,24,Male,Burhanpur,AOF1254Y,Stocks,555687.84,-9.23,24-04-2019,Shayak Tara
B2066,Advik Choudhary,36,Male,Pimpri-Chinchwad,TVY1430X,Bonds,618891.49,-5.18,07-01-2019,Seher Kurian
B2067,Madhup Ravel,40,Female,Proddatur,VLK3512T,Bonds,541288.03,10.54,17-07-2023,Rania Bandi
B2068,Nitya Master,67,Male,Guwahati,YRL7134U,Stocks,629019.34,20.2,05-05-2023,Aaryahi Wali
B2069,Divit Banik,40,Female,Panipat,ZYK9502P,Mutual Funds,840295.83,1.05,16-12-2024,Suhana Vig
B2070,Pari Maharaj,66,Female,Indore,SJN6201E,Stocks,236352.08,25.71,14-03-2023,Suhana Dalal
B2071,Nehmat Vohra,51,Female,Mango,LQP6490Z,Stocks,665860.51,2.16,16-03-2022,Faiyaz Sachar
B2072,Jhanvi Batta,26,Male,Patna,JCZ3792M,Stocks,163932.19,12.56,15-09-2019,Trisha Grover
B2073,Tarini Madan,65,Male,Loni,MOI8045R,Mutual Funds,259442.4,0.07,24-01-2023,Inaaya  Badami
B2074,Mahika Ranganathan,36,Female,Ajmer,JSB4962N,Stocks,284650.06,11.22,01-03-2020,Bhavin Bobal
B2075,Samaira Bhatnagar,38,Female,Morena,CAI7412D,Crypto,492401.94,-7.89,18-08-2024,Navya Raval
B2076,Renee Rajagopalan,62,Male,Amaravati,YSZ4156B,Crypto,285973.51,-6.78,15-05-2020,Misha Dhar
B2077,Vidur Koshy,59,Female,Meerut,CRF7444A,Mutual Funds,219308.29,15.84,01-12-2018,Lavanya Gill
B2078,Divij Hora,64,Male,Hosur,WZA1845R,Bonds,140362.3,1.9,22-03-2023,Faiyaz Chauhan
B2079,Veer Char,34,Female,Rourkela,WCD8030J,Stocks,751813.01,24.64,09-04-2020,Ishaan Ravi
B2080,Zain Chaudhry,49,Male,Rohtak,OHB3111R,Fixed Deposit,529651.62,21.54,23-11-2022,Jhanvi Bala
B2081,Taimur Baria,29,Female,Patna,UMR7396M,Fixed Deposit,118609.18,-1.56,08-08-2022,Prerak Mann
B2082,Kabir Handa,56,Female,Kishanganj,RAD3846E,Real Estate,427245.58,-12.98,06-07-2022,Arhaan Mangat
B2083,Indrans Deep,36,Female,Coimbatore,EZF7604M,Bonds,953951.45,-5.27,05-11-2020,Jayan Gara
B2084,Taran Sibal,63,Female,Ramagundam,GKJ6212T,Stocks,366302.53,23.62,21-08-2024,Farhan Mahajan
B2085,Samaira Thakur,31,Male,Visakhapatnam,LDS9475Y,Fixed Deposit,606419.03,20.68,09-01-2017,Parinaaz Shukla
B2086,Yashvi Gandhi,39,Male,Tumkur,ZBZ3595J,Crypto,204320.25,21.65,11-04-2022,Badal Mandal
B2087,Tiya Varty,31,Male,Arrah,PEO8166E,Stocks,20105.8,-0.45,19-12-2022,Lakshit Sehgal
B2088,Rania Sekhon,26,Male,Hindupur,KFW4784P,Stocks,135267.66,28.78,02-04-2024,Yuvraj  Dani
B2089,Rania Ghosh,25,Female,Motihari,LJQ2631F,Stocks,631029.75,18.43,08-08-2019,Nayantara Chowdhury
B2090,Keya Bose,32,Male,Kalyan-Dombivli,TZH3069A,Mutual Funds,22915.31,0.05,18-03-2019,Raunak Bhagat
B2091,Samarth Deol,41,Female,Silchar,DWJ9261D,Crypto,45754.52,-12.14,01-08-2022,Dhanush Barad
B2092,Biju Gopal,60,Female,Baranagar,IWF2939G,Fixed Deposit,215779.07,17.49,06-12-2021,Saira Sangha
B2093,Kimaya Shenoy,69,Female,Nangloi Jat,VYD7422S,Mutual Funds,60200.59,-5.63,25-01-2021,Dhruv Chauhan
B2094,Aaryahi Bakshi,58,Female,Mira-Bhayandar,YHF5263I,Mutual Funds,937733.57,27.16,11-06-2019,Tara Suri
B2095,Aaina Tandon,40,Male,Jodhpur,HMG3605S,Real Estate,698919.77,28.58,14-05-2022,Kimaya Bajaj
B2096,Bhavin Vaidya,50,Female,Erode,QVL6282R,Bonds,226827.34,20.08,26-10-2020,Mannat Thaman
B2097,Amira Tank,29,Male,Kumbakonam,AMQ4338C,Bonds,139888.54,26.64,21-08-2024,Miraya Bhatti
B2098,Vidur Wason,51,Male,Ujjain,FLV2527T,Bonds,719770.12,-3.49,04-05-2017,Khushi Das
B2099,Vaibhav Bassi,66,Male,Muzaffarpur,ZPS2528M,Crypto,503046.75,9.72,16-07-2018,Akarsh Thaker
B2100,Shray Kari,41,Male,Rewa,FMB1420G,Crypto,851981.62,6.65,26-06-2018,Lakshit Bhatti
B2101,Yuvraj  Lall,66,Male,Kavali,GTC8166K,Crypto,135920.19,-6.87,26-11-2023,Advika Hayre
B2102,Aaryahi Salvi,47,Male,Vadodara,OIJ1189R,Mutual Funds,877052.41,25.98,28-07-2021,Vanya Banik
B2103,Onkar Kala,39,Female,Ambala,CWG3507L,Crypto,251262.26,-4.71,17-04-2024,Advik Deo
B2104,Samarth Mandal,54,Female,Junagadh,OJL1455E,Mutual Funds,720673.81,-14.96,13-06-2023,Ryan Bhargava
B2105,Adira Vala,56,Male,Panihati,AGB9907D,Bonds,51014.55,6.1,09-05-2017,Biju Sane
B2106,Aradhya Bala,53,Female,Ahmednagar,WPP2290U,Bonds,779077.63,-4.15,22-12-2021,Jhanvi Rastogi
B2107,Yakshit Raman,50,Male,Vijayawada,DHP7265W,Stocks,139336.35,-4.5,24-08-2023,Mohanlal Wagle
B2108,Vedika Das,27,Male,Kozhikode,DOR1414F,Crypto,102601.68,-3.63,06-04-2020,Eva Tata
B2109,Rati Sami,60,Male,Silchar,WZP3138D,Crypto,342110.5,1.25,28-10-2019,Alia Sachdev
B2110,Amira Mall,24,Male,Tenali,KWV8433G,Mutual Funds,56564.48,2.01,06-12-2018,Anay Dhawan
